Title,Employer,Location,Date,Description,Industry,Source,Link
Senior Software Engineer - Python/MongoDB,Canonical - Jobs,Saint John,"Jun 23, 2024","We're enabling high-performing, rock-solid MongoDB deployments on any cloud or platform our customers choose. We want to create the world's best open source analog to MongoDB Altas or Amazon DocumentDB, which can be owned, controlled and operated by...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/senior-software-engineer-python-mongodb-canonical-jobs-5603488
Embedded Linux Software Engineer,Canonical - Jobs,Saint John,"Jun 23, 2024","This role is one of our general tracks. Apply here for all engineering teams at Canonical who work on low-level system technology and embedded systems, across all seniority levels. We hire careful and conscientious engineers who appreciate the...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/embedded-linux-software-engineer-canonical-jobs-5583985
"Software Engineer, Telemetry",Canonical - Jobs,Saint John,"Jun 23, 2024","Our mission is to secure and manage Ubuntu on IoT devices globally. With billions of connected devices running Linux, we think the opportunity for Ubuntu is enormous, and we will need a high-performance, scalable management system to ensure they are...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-telemetry-canonical-jobs-5608970
Software Engineer - OpenStack,Canonical - Jobs,Moncton,"Jun 23, 2024","This is an exciting opportunity for a software engineer passionate about open source software, Linux, and OpenStack. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-openstack-canonical-jobs-5607359
Software Engineer - OpenStack,Canonical - Jobs,Saint John,"Jun 23, 2024","This is an exciting opportunity for a software engineer passionate about open source software, Linux, and OpenStack. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical, a growing...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-openstack-canonical-jobs-5607363
Software Engineer - Cross-platform C++ - Multipass,Canonical - Jobs,Saint John,"Jun 23, 2024","Use your deep C++ skills on Windows and MacOS to build an amazing open source developer experience with Multipass , the workstation mini-cloud at your fingertips which provides Ubuntu and appliance VMs on demand for build, test and prototyping. The...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-cross-platform-c-multipass-canonical-jobs-5605330
Software Engineer - App Stores Backend (Remote),Canonical - Jobs,Saint John,"Jun 23, 2024","Summary This is an exciting opportunity for an exceptionalxperienced software engineer passionate about open source software, Linux, and Web Services at scale. Come build a rewarding, meaningful career working with the best and brightest people in...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-app-stores-backend-remote-canonical-jobs-5604730
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical - Jobs,Moncton,"Jun 23, 2024","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/python-and-kubernetes-software-engineer-data-ai-ml-analytics-canonical-jobs-5596552
Senior Software Engineer - Digital Workplace,Canonical - Jobs,Moncton,"Jun 23, 2024","The role Our Workplace Engineering team are a highly performant group which specialises in web architecture and analytics specialists. Building new tools, dashboards and analytics that empower colleagues, managers and executives to make better...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/senior-software-engineer-digital-workplace-canonical-jobs-5603188
Software Engineer - Python and K8s,Canonical - Jobs,Moncton,"Jun 23, 2024","Our mission is to reinvent the way companies manage their open source information systems - on public clouds and in their own data centres. To achieve that we are building a new community around Python opscode for open source applications, running...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-python-and-k8s-canonical-jobs-5607896
Software Engineer - Cross-platform C++ - Multipass,Canonical - Jobs,Moncton,"Jun 23, 2024","Use your deep C++ skills on Windows and MacOS to build an amazing open source developer experience with Multipass , the workstation mini-cloud at your fingertips which provides Ubuntu and appliance VMs on demand for build, test and prototyping. The...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-cross-platform-c-multipass-canonical-jobs-5605312
C++ Graphics and Windowing System Software Engineer - Mir,Canonical - Jobs,Saint John,"Jun 23, 2024","We build a high-performance, high-efficiency stack for window managers and display subsystems in C++, called Mir. We're growing the team and looking for new colleagues who share our passion for precision, performance and user experience. Our goal is...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/c-graphics-and-windowing-system-software-engineer-mir-canonical-jobs-5580605
Senior Software Engineer - Python/MongoDB,Canonical - Jobs,Moncton,"Jun 23, 2024","We're enabling high-performing, rock-solid MongoDB deployments on any cloud or platform our customers choose. We want to create the world's best open source analog to MongoDB Altas or Amazon DocumentDB, which can be owned, controlled and operated by...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/senior-software-engineer-python-mongodb-canonical-jobs-5603492
System Software Engineer - Ubuntu Networking,Canonical - Jobs,Saint John,"Jun 23, 2024","Our growing investment in Ubuntu now enables us to hire a group of outstanding systems software engineers to focus on the connectivity of Ubuntu in a wide range of circumstances, from cloud to server to desktop and IoT. We would like to strengthen...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/system-software-engineer-ubuntu-networking-canonical-jobs-5598125
"Python and Kubernetes Software Engineer - Data, AI/ML & Analytics",Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/python-and-kubernetes-software-engineer-data-ai-ml-analytics-canonical-jobs-5596556
Software Engineer - Solutions Engineering,Canonical - Jobs,Saint John,"Jun 23, 2024","Help us shape the future of open source IT, devops, and IS, from bare metal to containers. Our goal is to revolutionise open source application and infrastructure operations. We want to transform the world of software operations by enabling true...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-solutions-engineering-canonical-jobs-5608562
Software Engineer - Data Infrastructure - Kafka,Canonical - Jobs,Moncton,"Jun 23, 2024",Canonical is building a comprehensive automation suite to provide multi-cloud and on-premise data solutions for the enterprise. The data platform team is a collaborative team that develops a managed solutions for a full range of data stores and data...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-data-infrastructure-kafka-canonical-jobs-5605858
Senior Software Engineer - Digital Workplace,Canonical - Jobs,Saint John,"Jun 23, 2024","The role Our Workplace Engineering team are a highly performant group which specialises in web architecture and analytics specialists. Building new tools, dashboards and analytics that empower colleagues, managers and executives to make better...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/senior-software-engineer-digital-workplace-canonical-jobs-5603192
Software Engineer (Python/Linux/Packaging),Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical delivers open source software to millions of Linux, Windows and Mac machines through Ubuntu and the wider Canonical ecosystem. We are expanding our scope, to help developers ship their software efficiently to clouds and IoT devices. This...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-python-linux-packaging-canonical-jobs-5608250
Software Engineer - packaging - optimize Ubuntu Server for public clouds,Canonical - Jobs,Moncton,"Jun 23, 2024","This is an exciting opportunity for a software engineer passionate about open source software, Linux, Ubuntu Server and the public clouds. Come build a rewarding, meaningful career working with the best and brightest people in technology at...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-packaging-optimize-ubuntu-server-for-public-clouds-canonical-jobs-5607698
"Software Engineer, Sustaining Engineering",Canonical - Jobs,Saint John,"Jun 23, 2024","This is a fast-paced engineering role in Linux-based software-defined infrastructure and applications, covering all layers of the stack, including bare metal, virtualization (KVM) and containerization (Docker/LXC/LXD), storage (Ceph and Linux...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-sustaining-engineering-canonical-jobs-5608665
"Software Engineer, Sustaining Engineering",Canonical - Jobs,Moncton,"Jun 23, 2024","This is a fast-paced engineering role in Linux-based software-defined infrastructure and applications, covering all layers of the stack, including bare metal, virtualization (KVM) and containerization (Docker/LXC/LXD), storage (Ceph and Linux...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-sustaining-engineering-canonical-jobs-5608669
HPC Software Engineer,Canonical - Jobs,Moncton,"Jun 23, 2024","HPC is an important and technically challenging compute domain, with specialised tooling and a very high expectation of precision, efficiency and automation. This role is for a software engineer to join our HPC team to deliver an outstanding HPC...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/hpc-software-engineer-canonical-jobs-5591005
Software Engineer - Python/Golang - Kubernetes,Canonical - Jobs,Saint John,"Jun 23, 2024","As a member of the Kubernetes product team, you will build the operators and addons; the former, offering complete lifecycle management of mission-critical components, and the latter, a zero-ops experience for seamlessly integrating projects into...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-python-golang-kubernetes-canonical-jobs-5608023
Open Source Networking Software Engineer - ToR Switch / SmartNIC / DPU,Canonical - Jobs,Saint John,"Jun 23, 2024","Software has moved to play a central role in network technology. From outstanding routing implementations like Bird and FRR to overlay networking technology such as OVN/OVS and Cilium, from kernel with SwitchDev to userspace with DPDK, from P4 to...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/open-source-networking-software-engineer-tor-switch-smartnic-dpu-canonical-jobs-5595211
Software Engineer - Python/Golang - Kubernetes,Canonical - Jobs,Moncton,"Jun 23, 2024","As a member of the Kubernetes product team, you will build the operators and addons; the former, offering complete lifecycle management of mission-critical components, and the latter, a zero-ops experience for seamlessly integrating projects into...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-python-golang-kubernetes-canonical-jobs-5608026
"System Software Engineer - Rust compiler, tooling, and ecosystem",Canonical - Jobs,Moncton,"Jun 23, 2024","We are building a new team to focus on the Rust programming language and its ecosystem on Ubuntu. They will deliver the best possible Rust runtime, developer experience and supporting tooling in Ubuntu. We are keen to ensure that the cutting edge of...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/system-software-engineer-rust-compiler-tooling-and-ecosystem-canonical-jobs-5598008
Software Engineer - Python and K8s,Canonical - Jobs,Saint John,"Jun 23, 2024","Our mission is to reinvent the way companies manage their open source information systems - on public clouds and in their own data centres. To achieve that we are building a new community around Python opscode for open source applications, running...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-python-and-k8s-canonical-jobs-5607892
Ubuntu on WSL Software Engineer,Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/ubuntu-on-wsl-software-engineer-canonical-jobs-5599768
Software Engineering Manager - Container and Virtualisation Infrastructure,Canonical - Jobs,Moncton,"Jun 23, 2024","Our mission is to build a next-generation private cloud infrastructure, combining KVM, Ceph, and SDN technologies to create a data center scale cloud that 'just works' and provides a mission-critical cloud for edge and core enterprise deployments....","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineering-manager-container-and-virtualisation-infrastructure-canonical-jobs-5606744
Software Engineer - Solutions Engineering,Canonical - Jobs,Moncton,"Jun 23, 2024","Help us shape the future of open source IT, devops, and IS, from bare metal to containers. Our goal is to revolutionise open source application and infrastructure operations. We want to transform the world of software operations by enabling true...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-solutions-engineering-canonical-jobs-5608558
Software Engineer - Cloud Images,Canonical - Jobs,Moncton,"Jun 23, 2024","This is an exciting opportunity for software engineers (all levels) passionate about Linux, cloud infrastructure, pipelines and automation, and open source software.. You will work closely with Amazon, Microsoft, Google and other world-class cloud...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-cloud-images-canonical-jobs-5605110
Juju Software Engineer (Go),Canonical - Jobs,Saint John,"Jun 23, 2024","The role of a Software Engineer at Canonical As a software engineer on the team, you'll be contributing to the development of Juju, a large open-source Go project that powers complex distributed software systems across the world. Juju is the engine...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/juju-software-engineer-go-canonical-jobs-5591243
Software Engineer - App Stores Backend (Remote),Canonical - Jobs,Moncton,"Jun 23, 2024","Summary This is an exciting opportunity for an experienced software engineer passionate about open source software, Linux, and Web Services at scale. Come build a rewarding, meaningful career working with the best and brightest people in technology...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-app-stores-backend-remote-canonical-jobs-5604726
"System Software Engineer - Rust compiler, tooling, and ecosystem",Canonical - Jobs,Saint John,"Jun 23, 2024","We are building a new team to focus on the Rust programming language and its ecosystem on Ubuntu. They will deliver the best possible Rust runtime, developer experience and supporting tooling in Ubuntu. We are keen to ensure that the cutting edge of...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/system-software-engineer-rust-compiler-tooling-and-ecosystem-canonical-jobs-5598012
Software Engineer - packaging - optimize Ubuntu Server for public clouds,Canonical - Jobs,Saint John,"Jun 23, 2024","This is an exciting opportunity for a software engineer passionate about open source software, Linux, Ubuntu Server and the public clouds. Come build a rewarding, meaningful career working with the best and brightest people in technology at...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineer-packaging-optimize-ubuntu-server-for-public-clouds-canonical-jobs-5607694
Ubuntu on WSL Software Engineer,Canonical - Jobs,Moncton,"Jun 23, 2024","Canonical is a leading provider of open source software and operating systems to the global enterprise and technology markets. Our platform, Ubuntu, is very widely used in breakthrough enterprise initiatives such as public cloud, data science, AI,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/ubuntu-on-wsl-software-engineer-canonical-jobs-5599772
Security Software Engineer,Canonical - Jobs,Saint John,"Jun 23, 2024","This is a general track for security-focused engineering in every team at Canonical, across all levels of seniority. Apply here if you are already an exceptional security-focused software engineer. Most product engineering teams at Canonical include...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/security-software-engineer-canonical-jobs-5601853
C++ Graphics and Windowing System Software Engineer - Mir,Canonical - Jobs,Moncton,"Jun 23, 2024","We build a high-performance, high-efficiency stack for window managers and display subsystems in C++, called Mir. We're growing the team and looking for new colleagues who share our passion for precision, performance and user experience. Our goal is...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/c-graphics-and-windowing-system-software-engineer-mir-canonical-jobs-5580601
Engineering Manager - Identity (Python/Go),Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical is seeking experienced Python/Go engineering managers to build highly performant and secure identity and access management solutions that will be used across all company products. From Ubuntu One SSO to Juju , LXD and MAAS your team will...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-identity-python-go-canonical-jobs-5585756
Golang Engineering Manager (IAM),Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical is seeking experienced Python/Go engineering managers to build highly performant and secure identity and access management solutions that will be used across all company products. From Ubuntu One SSO to Juju , LXD and MAAS your team will...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/golang-engineering-manager-iam-canonical-jobs-5589510
Software Engineering Manager - Container and Virtualisation Infrastructure,Canonical - Jobs,Saint John,"Jun 23, 2024","Our mission is to build a next-generation private cloud infrastructure, combining KVM, Ceph, and SDN technologies to create a data center scale cloud that 'just works' and provides a mission-critical cloud for edge and core enterprise deployments....","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineering-manager-container-and-virtualisation-infrastructure-canonical-jobs-5606561
Engineering Manager - snapd,Canonical - Jobs,Saint John,"Jun 23, 2024","Redefine the embedded Linux experience with the smallest, most secure, and most reliable operating system in the IoT market. This is an opportunity for a technical engineering manager passionate about open source software, Linux, containers,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-snapd-canonical-jobs-5586433
"Engineering Manager, Software Engineering, Worldwide",Canonical - Jobs,Saint John,"Jun 23, 2024","This is an exciting opportunity for a software engineering manager, passionate about open source software, Linux and cloud computing. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-software-engineering-worldwide-canonical-jobs-5586648
Engineering Manager - Solutions Engineering,Canonical - Jobs,Moncton,"Jun 23, 2024","We want to transform the world of software operations by enabling true model-driven operations via next-generation infrastructure-as-code. This will allow companies to run very efficient bare-metal operations for high-performance computing, private...",Management,Startup Jobs,https://startup.jobs/engineering-manager-solutions-engineering-canonical-jobs-5586807
Linux Server Software Engineering Manager,Canonical - Jobs,Saint John,"Jun 23, 2024",The Partner Engineering team works with the leading silicon companies to optimise Ubuntu to get the most from each new chip. Our goal is to collaborate with specialist engineers from our partners to integrate next-generation features and performance...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/linux-server-software-engineering-manager-canonical-jobs-5593506
"Engineering Manager, Ubuntu Server Distribution",Canonical - Jobs,Moncton,"Jun 23, 2024","Ubuntu Server is the world's most popular Linux - on cloud and bare metal. In this role, you will manage the team delivering the Ubuntu Server Distribution to the world. Ubuntu strives to offer the latest, best, free software components, in an easy...",Management,Startup Jobs,https://startup.jobs/engineering-manager-ubuntu-server-distribution-canonical-jobs-5587223
Software Engineering Manager - Desktop and Embedded Linux Optimisation,Canonical - Jobs,Saint John,"Jun 23, 2024",We work closely with major silicon companies to optimise Ubuntu for their latest hardware. As a software engineering manager you need to bring both technical and management skills to the leadership of your team. You will be leading an engineering...,"Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineering-manager-desktop-and-embedded-linux-optimisation-canonical-jobs-5606818
Engineering Manager - Data Platform,Canonical - Jobs,Moncton,"Jun 23, 2024","Canonical is building a comprehensive suite of multi-cloud and on-premise data solutions for the enterprise. We want to make it easy to operate any database on any cloud, or on premise. The data platform team covers the full range of data stores and...",Management,Startup Jobs,https://startup.jobs/engineering-manager-data-platform-canonical-jobs-5585678
Observability Engineering Manager,Canonical - Jobs,Saint John,"Jun 23, 2024","Engineering managers at Canonical are always coders who are able to review and lead both architecture and code. They should also of course be astute judges of character, and comfortable setting expectations and holding colleagues accountable to...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/observability-engineering-manager-canonical-jobs-5594904
Engineering Manager - Identity (Python/Go),Canonical - Jobs,Moncton,"Jun 23, 2024","Canonical is seeking experienced Python/Go engineering managers to build highly performant and secure identity and access management solutions that will be used across all company products. From Ubuntu One SSO to Juju , LXD and MAAS your team will...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-identity-python-go-canonical-jobs-5585753
Linux Software Engineering Manager - Ubuntu,Canonical - Jobs,Moncton,"Jun 23, 2024","We are scaling the Ubuntu Foundations Team which delivers the essential components of Ubuntu - our system startup, compilers, language runtimes and toolchains, as well as networking and storage config and management - and we are hiring engineering...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/linux-software-engineering-manager-ubuntu-canonical-jobs-5593645
Engineering Manager,Canonical - Jobs,Saint John,"Jun 23, 2024","This is a general track for first-level engineering management positions at Canonical. We believe that open source is just starting to transform the tech sector and enterprise compute. Our goal is to make open source easier, more reliable and more...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-canonical-jobs-5584931
"Engineering Manager, Ubuntu Server Distribution",Canonical - Jobs,Saint John,"Jun 23, 2024","Ubuntu Server is the world's most popular Linux - on cloud and bare metal. In this role, you will manage the team delivering the Ubuntu Server Distribution to the world. Ubuntu strives to offer the latest, best, free software components, in an easy...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-ubuntu-server-distribution-canonical-jobs-5587226
Software Engineering Manager - Desktop and Embedded Linux Optimisation,Canonical - Jobs,Moncton,"Jun 23, 2024",We work closely with major silicon companies to optimise Ubuntu for their latest hardware. As a software engineering manager you need to bring both technical and management skills to the leadership of your team. You will be leading an engineering...,Management,Startup Jobs,https://startup.jobs/software-engineering-manager-desktop-and-embedded-linux-optimisation-canonical-jobs-5606814
Ubuntu Quality Engineering Manager,Canonical - Jobs,Moncton,"Jun 23, 2024","We are looking for an engineering manager for our Ubuntu Quality Engineering team, with a mission to take Linux distro quality to a new level through automation and large-scale data analysis. As the Ubuntu Quality Engineering Manager, you must be...",Management,Startup Jobs,https://startup.jobs/ubuntu-quality-engineering-manager-canonical-jobs-5599974
Engineering Manager - Solutions Engineering,Canonical - Jobs,Saint John,"Jun 23, 2024","We want to transform the world of software operations by enabling true model-driven operations via next-generation infrastructure-as-code. This will allow companies to run very efficient bare-metal operations for high-performance computing, private...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-solutions-engineering-canonical-jobs-5586810
Linux Server Software Engineering Manager,Canonical - Jobs,Moncton,"Jun 23, 2024",The Partner Engineering team works with the leading silicon companies to optimise Ubuntu to get the most from each new chip. Our goal is to collaborate with specialist engineers from our partners to integrate next-generation features and performance...,Management,Startup Jobs,https://startup.jobs/linux-server-software-engineering-manager-canonical-jobs-5593503
"Engineering Manager, Sustaining Software Engineering, Worldwide",Canonical - Jobs,Saint John,"Jun 23, 2024","This is an exciting opportunity for a software engineering manager, passionate about open source software, Linux and cloud computing. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical,...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-sustaining-software-engineering-worldwide-canonical-jobs-5586887
Engineering Manager - Ubuntu Systems Management,Canonical - Jobs,Saint John,"Jun 23, 2024","This is an engineering management role to lead the reboot of our Landscape systems management solution for Ubuntu. Ubuntu is growing rapidly in the enterprise, with estates expanding from cloud, to bare metal servers, to vSphere clusters, and of...",Management,Startup Jobs,https://startup.jobs/engineering-manager-ubuntu-systems-management-canonical-jobs-5587594
Software Engineering Manager - Ubuntu Linux Kernel,Canonical - Jobs,Moncton,"Jun 23, 2024","Canonical, the publisher of Ubuntu, is growing its Linux kernel engineering team significantly. We are creating new teams in EMEA, Americas and APAC time zones that work holistically on the Ubuntu kernel and is therefore seeking multiple candidates...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineering-manager-ubuntu-linux-kernel-canonical-jobs-5607096
Engineering Manager - MLOps & Analytics,Canonical - Jobs,Moncton,"Jun 23, 2024","The role of an Engineering Manager at Canonical As an Engineering Manager at Canonical, you must be technically strong, but your main responsibility is to run an effective team and develop the colleagues you manage. You will develop and review code...",Management,Startup Jobs,https://startup.jobs/engineering-manager-mlops-analytics-canonical-jobs-5586085
"Engineering Manager, Ubuntu Server - cloud-init",Canonical - Jobs,Saint John,"Jun 23, 2024","Ubuntu Server is the world's most popular Linux - on cloud and bare metal. In this role, you will manage the team delivering cloud-init - the standard for customizing cloud instances - to the world. Driving early system config is so much broader...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-ubuntu-server-cloud-init-canonical-jobs-5587026
Observability Engineering Manager,Canonical - Jobs,Moncton,"Jun 23, 2024","Engineering managers at Canonical are always coders who are able to review and lead both architecture and code. They should also of course be astute judges of character, and comfortable setting expectations and holding colleagues accountable to...",Management,Startup Jobs,https://startup.jobs/observability-engineering-manager-canonical-jobs-5594909
"Engineering Manager, App Stores Backend",Canonical - Jobs,Saint John,"Jun 23, 2024","This is a technical management role to lead a team that develops Python and Golang micro-services that power our global software distribution engine. The world sees it as the Snap Store and Charmhub.io marketplaces, behind the scenes it is a unified...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-app-stores-backend-canonical-jobs-5585145
Linux Engineering Manager - Optimisation for Latest Hardware,Canonical - Jobs,Moncton,"Jun 23, 2024","Lead an engineering team that partners with the Linux engineers of a major silicon company, and works across the full Linux stack from kernel to GUI, to optimise Ubuntu, the world’s most widely used Linux desktop and server, for the latest silicon....",Management,Startup Jobs,https://startup.jobs/linux-engineering-manager-optimisation-for-latest-hardware-canonical-jobs-5593230
Ubuntu Engineering Manager - Security,Canonical - Jobs,Moncton,"Jun 23, 2024","This is an opportunity to play a crucial role in shaping the security of Canonical and the whole open source community. We are looking for people to help us grow and expand our security offering, and to help us make the world a safer place. You will...",Management,Startup Jobs,https://startup.jobs/ubuntu-engineering-manager-security-canonical-jobs-5599422
"Engineering Manager, Ubuntu Server - Ubuntu Pro",Canonical - Jobs,Saint John,"Jun 23, 2024","Ubuntu Server is the world's most popular Linux - on cloud and bare metal. In this role, you will manage the team responsible for the software that manages access to all professional Ubuntu offerings. This software runs on every major Release of...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-ubuntu-server-ubuntu-pro-canonical-jobs-5587370
"Engineering Manager, Software Engineering, Worldwide",Canonical - Jobs,Moncton,"Jun 23, 2024","This is an exciting opportunity for a software engineering manager, passionate about open source software, Linux and cloud computing. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical,...",Management,Startup Jobs,https://startup.jobs/engineering-manager-software-engineering-worldwide-canonical-jobs-5586651
Ubuntu Quality Engineering Manager,Canonical - Jobs,Saint John,"Jun 23, 2024","We are looking for an engineering manager for our Ubuntu Quality Engineering team, with a mission to take Linux distro quality to a new level through automation and large-scale data analysis. As the Ubuntu Quality Engineering Manager, you must be...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/ubuntu-quality-engineering-manager-canonical-jobs-5599969
Linux Software Engineering Manager - Ubuntu,Canonical - Jobs,Saint John,"Jun 23, 2024","We are scaling the Ubuntu Foundations Team which delivers the essential components of Ubuntu - our system startup, compilers, language runtimes and toolchains, as well as networking and storage config and management - and we are hiring engineering...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/linux-software-engineering-manager-ubuntu-canonical-jobs-5593649
Linux Engineering Manager - Optimisation for Latest Hardware,Canonical - Jobs,Saint John,"Jun 23, 2024","Lead an engineering team that partners with the Linux engineers of a major silicon company, and works across the full Linux stack from kernel to GUI, to optimise Ubuntu, the world’s most widely used Linux desktop and server, for the latest silicon....","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/linux-engineering-manager-optimisation-for-latest-hardware-canonical-jobs-5593234
"Engineering Manager, Sustaining Software Engineering, Worldwide",Canonical - Jobs,Moncton,"Jun 23, 2024","This is an exciting opportunity for a software engineering manager, passionate about open source software, Linux and cloud computing. Come build a rewarding, meaningful career working with the best and brightest people in technology at Canonical,...",Management,Startup Jobs,https://startup.jobs/engineering-manager-sustaining-software-engineering-worldwide-canonical-jobs-5586891
Software Engineering Manager - Ubuntu Linux Kernel,Canonical - Jobs,Saint John,"Jun 23, 2024","Canonical, the publisher of Ubuntu, is growing its Linux kernel engineering team significantly. We are creating new teams in EMEA, Americas and APAC time zones that work holistically on the Ubuntu kernel and is therefore seeking multiple candidates...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/software-engineering-manager-ubuntu-linux-kernel-canonical-jobs-5607092
Engineering Manager - MLOps & Analytics,Canonical - Jobs,Saint John,"Jun 23, 2024","The role of an Engineering Manager at Canonical As an Engineering Manager at Canonical, you must be technically strong, but your main responsibility is to run an effective team and develop the colleagues you manage. You will develop and review code...","Engineers, Architects, IT, Natural Science",Startup Jobs,https://startup.jobs/engineering-manager-mlops-analytics-canonical-jobs-5586081
Public Cloud Project Manager,Canonical - Jobs,Saint John,"Jun 23, 2024","The role of a Public Cloud Project Manager at Canonical In this high-profile position, customer relationship management and advocacy for Canonical's technical assets are crucial. This role is an opportunity for a technologist with a passion for...",Management,Startup Jobs,https://startup.jobs/public-cloud-project-manager-canonical-jobs-5596448
