Title,Link,Facility,Location,Shift Type,Competition,Department,Type of Employment,Union Status,Closing Date,Pay Grade,Salary Range
Administrative Assistant (Secretary 2) - Casual Relief,https://jobs.novascotia.ca/job/PICTOU-Administrative-Assistant-%28Secretary-2%29-Casual-Relief-NS-B0K-1H0/582042117/,Justice,Location: PICTOU,09-Jul-24,Not found,Department: Justice,Type of Employment: Casual,Not found,Closing Date: 09-Jul-24,Not found,Pay Grade:  CL 18
Workplace Mental Health Consultant (Designated),https://jobs.novascotia.ca/job/HALIFAX-Workplace-Mental-Health-Consultant-%28Designated%29-NS-B3J3N8/581982017/,Public Service Commission,Location: HALIFAX,01-Jul-24,Not found,Department: Public Service Commission,Type of Employment: Permanent,Not found,Closing Date: 01-Jul-24  (Applications are accepted until 11:59 PM Atlantic Time),EC 11,"Salary Range:  $3,351.92 - $4,189.95 Bi-Weekly"
Mechanic II (Truck and Transport) (Year Round) (Antigonish and Port Hawkesbury),https://jobs.novascotia.ca/job/ANTIGONISH-Mechanic-II-%28Truck-and-Transport%29-%28Year-Round%29-%28Antigonish-and-Port-Hawkesbury%29-NS-B2G-2K5/581981017/,Public Works,Location:,02-Jul-24,Not found,Department: Public Works,"Zone: 5, 6, 7, 8 and 9",Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
"Unit Supervisor, Wood Street Campus",https://jobs.novascotia.ca/job/TRURO-Unit-Supervisor%2C-Wood-Street-Campus-NS-B2N-7H8/581997417/,Community Services,Location: TRURO,01-Jul-24,Not found,Department: Community Services,Type of Employment: Permanent,Not found,Closing Date: 01-Jul-24,Not found,Pay Grade:  EC 10
Junior Policy Analyst (Research & Stat Officer 2),https://jobs.novascotia.ca/job/HALIFAX-Junior-Policy-Analyst-%28Research-&-Stat-Officer-2%29-NS-B3J-2T7/581996817/,Community Services,HALIFAX,01-Jul-24,43303,Community Services,Term,NSGEU - NSPG,01-Jul-24,PR 10,"Salary Range:  $2,262.74 - $2,760.42 Bi-Weekly"
Marine Engineer 1 (Petite Passage),https://jobs.novascotia.ca/job/FREEPORT-Marine-Engineer-1-%28Petite-Passage%29-NS-B0V-1E0/581981417/,Public Works,Not found,01-Jul-24,43333,Public Works,Term,NSGEU - NSPG,01-Jul-24,MOS 13,"Salary Range:  $1,914.72 - $1,966.54 Bi-Weekly"
Administrative Assistant (Secretary 1),https://jobs.novascotia.ca/job/NEW-GLASGOW-Administrative-Assistant-%28Secretary-1%29-NS-B2H-6B6/581996317/,Community Services,NEW GLASGOW,01-Jul-24,43313,Community Services,Temporary,NSGEU - NSPG,01-Jul-24,CL 14,"Salary Range:  $1,529.39 - $1,684.00 Bi-Weekly"
Junior Procurement Specialist (Program Admin Officer 1-2),https://jobs.novascotia.ca/job/HALIFAX-Junior-Procurement-Specialist-%28Program-Admin-Officer-1-2%29-NS-B3J/581991917/,Service Nova Scotia,HALIFAX,01-Jul-24,43320,Service Nova Scotia,Permanent,Not found,01-Jul-24,PR 06 - PR 10,"Salary Range:  $1,924.95 - $2,760.42 Bi-Weekly"
Forestry Fire Crew Person (Maintenance Worker 2(A)),https://jobs.novascotia.ca/job/CORNWALLIS-Forestry-Fire-Crew-Person-%28Maintenance-Worker-2%28A%29%29-NS-B0S-1H0/582005717/,Natural Resources & Renewables,CORNWALLIS,01-Jul-24,43325,Natural Resources & Renewables,Seasonal,NSGEU - NSPG,01-Jul-24,MOS 07,"Salary Range:  $1,645.29 - $1,686.75 Bi-Weekly"
Adult Protection Worker Central Region,https://jobs.novascotia.ca/job/HALIFAX-Adult-Protection-Worker-Central-Region-NS-B3L-4R6/582004417/,Seniors and Long-Term Care,HALIFAX,01-Jul-24,43255,Seniors and Long-Term Care,Permanent,NSGEU - NSPG,01-Jul-24,PR 16,"Salary Range:  $2,867.11 - $3,507.08 Bi-Weekly"
Paralegal (Legal Services Technician 3) (Term and Temporary),https://jobs.novascotia.ca/job/HALIFAX-Paralegal-%28Legal-Services-Technician-3%29-%28Term-and-Temporary%29-NS-B4N-2E3/582001717/,Public Prosecution Service,HALIFAX and DARTMOUTH,01-Jul-24,43269,Public Prosecution Service,Term,NSGEU - NSPG,01-Jul-24,TE 21,"Salary Range:  $2,105.04 - $2,466.26 Bi-Weekly"
Program Investment Coordinator (Program Administration Officer 3),https://jobs.novascotia.ca/job/Multiple-Locations-Program-Investment-Coordinator-%28Program-Administration-Officer-3%29-NS-B3J-2T8/582005817/,"Labour, Skills and Immigration",Multiple Locations,01-Jul-24,43285,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,01-Jul-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Receptionist (Clerk 2),https://jobs.novascotia.ca/job/HALIFAX-Receptionist-%28Clerk-2%29-NS-B2Y-1N6/582008317/,"Labour, Skills and Immigration",HALIFAX,01-Jul-24,43331,"Labour, Skills and Immigration",Term,NSGEU - NSPG,01-Jul-24,CL 13,"Salary Range:  $1,501.11 - $1,633.95 Bi-Weekly"
Land Administration Officer (Planning Technician),https://jobs.novascotia.ca/job/HALIFAX-Land-Administration-Officer-%28Planning-Technician%29-NS-B3J-2T9/581080917/,Natural Resources & Renewables,HALIFAX,28-Jun-24,42972,Natural Resources & Renewables,Permanent,NSGEU - NSPG,28-Jun-24,TE 24,"Salary Range:  $2,370.01 - $2,791.38 Bi-Weekly"
Division Crewperson (Summer Works) (Lequille) (2 Positions),https://jobs.novascotia.ca/job/LEQUILLE-Division-Crewperson-%28Summer-Works%29-%28Lequille%29-%282-Positions%29-NS-B0S-1A0/581934217/,Public Works,Location: LEQUILLE,28-Jun-24,Not found,Department: Public Works,Zone: 31,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Special Works Crew) (Traffic Control Crew) (Lequille),https://jobs.novascotia.ca/job/LEQUILLE-Division-Crewperson-%28Special-Works-Crew%29-%28Traffic-Control-Crew%29-%28Lequille%29-NS-B0S-1A0/581934617/,Public Works,Location: LEQUILLE,28-Jun-24,Not found,Department: Public Works,"Zone: 29, 30 and 33",Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Geomatics Engineering Technologist (Survey Technician 3),https://jobs.novascotia.ca/job/BIBLE-HILL-Geomatics-Engineering-Technologist-%28Survey-Technician-3%29-NS-B2N-2R2/581954517/,Natural Resources & Renewables,BIBLE HILL,28-Jun-24,43311,Natural Resources & Renewables,Permanent,NSGEU - NSPG,28-Jun-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Adult protection Administrative Assistant (Clerk 3),https://jobs.novascotia.ca/job/KENTVILLE-Adult-protection-Administrative-Assistant-%28Clerk-3%29-NS-B4N-0H2/581955017/,Seniors and Long-Term Care,KENTVILLE,28-Jun-24,43211,Seniors and Long-Term Care,Permanent,NSGEU - NSPG,28-Jun-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
"Manager, Service Delivery",https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-Service-Delivery-NS-B3J-2T7/581949917/,Service Nova Scotia,Location: HALIFAX,28-Jun-24,Not found,Department: Service Nova Scotia,Type of Employment: Term,Not found,Closing Date: 28-Jun-24  (Applications are accepted until 11:59 PM Atlantic Time),EC 11,"Salary Range:  $3,047.22 - $4,189.95 Bi-Weekly"
Project Engineer (Engineer 1-3),https://jobs.novascotia.ca/job/BIBLE-HILL-Project-Engineer-%28Engineer-1-3%29-NS-B2N-5C1/581896117/,Public Works,BIBLE HILL,27-Jun-24,43295,Public Works,Permanent,Not found,27-Jun-24,PR 08 - PR 15,"Salary Range:  $2,084.99 - $3,364.90 Bi-Weekly"
Marine Engineer 1 (Country Harbour),https://jobs.novascotia.ca/job/PORT-BICKERTON-Marine-Engineer-1-%28Country-Harbour%29-NS-B0J-3C0/581895517/,Public Works,Not found,27-Jun-24,43292,Public Works,Term,NSGEU - NSPG,27-Jun-24,MOS 13,"Salary Range:  $1,914.72 - $1,966.54 Bi-Weekly"
Marine Engineer 1 (Englishtown),https://jobs.novascotia.ca/job/ENGLISHTOWN-Marine-Engineer-1-%28Englishtown%29-NS-B0C-1H0/581895117/,Public Works,ENGLISHTOWN,27-Jun-24,43290,Public Works,Permanent,NSGEU - NSPG,27-Jun-24,MOS 13,"Salary Range:  $1,914.72 - $1,966.54 Bi-Weekly"
"Director, Internal Controls & Municipal Finance",https://jobs.novascotia.ca/job/HALIFAX-Director%2C-Internal-Controls-&-Municipal-Finance-NS-B3J-2N3/581915217/,Finance and Treasury Board,Location: HALIFAX,28-Jun-24,Not found,Department: Finance and Treasury Board,Type of Employment: Permanent,Not found,Closing Date: 28-Jun-24  (Applications are accepted until 11:59 PM Atlantic Time),EC 14,"Salary Range:  $4,461.45 - $5,576.81 Bi-Weekly"
Deputy Sheriff 1-2 (Term),https://jobs.novascotia.ca/job/KENTVILLE-Deputy-Sheriff-1-2-%28Term%29-NS-B4N2E5/581915817/,Justice,KENTVILLE,27-Jun-24,43248,Justice,Term,Not found,27-Jun-24,TE 19 - TE 21,"Salary Range:  $1,936.49 - $2,466.26 Bi-Weekly"
Legal Services Technician 1-2,https://jobs.novascotia.ca/job/HALIFAX-Legal-Services-Technician-1-2-NS-B4N-2E3/581915617/,Public Prosecution Service,HALIFAX,27-Jun-24,43233,Public Prosecution Service,Permanent,Not found,27-Jun-24,TE 13 - TE 19,"Salary Range:  $1,566.66 - $2,273.69 Bi-Weekly"
Clerk 3 - Records Administration,https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-Records-Administration-NS-B4N-2E3/581897717/,Public Prosecution Service,HALIFAX,27-Jun-24,43232,Public Prosecution Service,Permanent,NSGEU - NSPG,27-Jun-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Lawyer 1-3 (Solicitor 1-3),https://jobs.novascotia.ca/job/HALIFAX-Lawyer-1-3-%28Solicitor-1-3%29-NS-B3J-2L6/581915917/,Justice,Type of Employment: Permanent,27-Jun-24,Not found,Location: HALIFAX,Union Status: NSGLA,Not found,Not found,"$3,297.75 - $6,084.28 Bi-Weekly",Not found
Clerk 3 (Customer Service Representative),https://jobs.novascotia.ca/job/BRIDGEWATER-Clerk-3-%28Customer-Service-Representative%29-NS-B4V-3T3/581906117/,Service Nova Scotia,BRIDGEWATER,27-Jun-24,43293,Service Nova Scotia,Permanent,NSGEU - NSPG,27-Jun-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
"Clerk 3 (CSR, Contact Centre)",https://jobs.novascotia.ca/job/HALIFAX-Clerk-3-%28CSR%2C-Contact-Centre%29-NS-B3J-1M7/581909317/,Service Nova Scotia,HALIFAX,27-Jun-24,43151,Service Nova Scotia,Temporary,NSGEU - NSPG,27-Jun-24,CL 18,"Salary Range:  $1,684.00 - $1,884.17 Bi-Weekly"
Executive Assistant,https://jobs.novascotia.ca/job/HALIFAX-Executive-Assistant-NS-B3P-0A4/581916217/,Justice,Location: HALIFAX,27-Jun-24,Not found,Department: Justice,Type of Employment: Permanent,Not found,Closing Date: 27-Jun-24,Not found,Pay Grade:  EC 05
Maintenance Enforcement Officer (Program Admin Officer 3/Agent de gestion de programme 3),https://jobs.novascotia.ca/job/NEW-WATERFORD-Maintenance-Enforcement-Officer-%28Program-Admin-Officer-3Agent-de-gestion-de-programme-3%29-NS-B1H-5V8/581902217/,Justice,NEW WATERFORD,04-Jul-24,43256,Justice,Term,NSGEU - NSPG,04-Jul-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Division Crewperson (Summer Works Period) (Temporary Assignment) (Oxford and Parrsboro),https://jobs.novascotia.ca/job/Multiple-Locations-Division-Crewperson-%28Summer-Works-Period%29-%28Temporary-Assignment%29-%28Oxford-and-Parrsboro%29-NS-B0M-1P0/581851817/,Public Works,Location:,26-Jun-24,Not found,Department: Public Works,Zone: 19 and 24,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Summer Works) (Oxford and Parrsboro),https://jobs.novascotia.ca/job/Multiple-Locations-Division-Crewperson-%28Summer-Works%29-%28Oxford-and-Parrsboro%29-NS-B0M-1P0/581855017/,Public Works,Location: Oxford and Parrsboro,26-Jun-24,Not found,Department: Public Works,Zone: 19 and 24,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
Division Crewperson (Spare) (Cumberland County),https://jobs.novascotia.ca/job/CUMBERLAND-COUNTY-Division-Crewperson-%28Spare%29-%28Cumberland-County%29-NS-B0M-1S0/581853917/,Public Works,Location: CUMBERLAND COUNTY,26-Jun-24,Not found,Department: Public Works,"Zone: 19, 20 and 24",Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
"Project Executive, Health Workforce Partnerships (Term)",https://jobs.novascotia.ca/job/HALIFAX-Project-Executive%2C-Health-Workforce-Partnerships-%28Term%29-NS-B3J-2R8/581885617/,Health Professionals Recruit,Location: HALIFAX,27-Jun-24,Not found,Department: Health Professionals Recruit,Type of Employment: Term,Not found,Closing Date: 27-Jun-24,Not found,Pay Grade:  EC 14
Administrative Assistant (Secretary 3),https://jobs.novascotia.ca/job/HALIFAX-Administrative-Assistant-%28Secretary-3%29-NS-B3J-2R8/581885917/,Health Professionals Recruit,Location: HALIFAX,27-Jun-24,Not found,Department: Health Professionals Recruit,Type of Employment: Permanent,Not found,Closing Date: 27-Jun-24,Not found,Pay Grade:  EC 05
Apprentice Carpenter (Halifax),https://jobs.novascotia.ca/job/HALIFAX-Apprentice-Carpenter-%28Halifax%29-NS-B3K-2A6/581846017/,Public Works,HALIFAX,26-Jun-24,43264,Public Works,Term,NSGEU - NSPG,26-Jun-24,TRA 11,Salary Range:  $17.62 - $27.89 Hourly
Education Officer 3 (Provincial Mathematics Lead),https://jobs.novascotia.ca/job/HALIFAX-Education-Officer-3-%28Provincial-Mathematics-Lead%29-NS-B3J-2S9/581850617/,Education & Early Childhood Development,HALIFAX,26-Jun-24,43262,Education & Early Childhood Development,Permanent,NSGEU - NSPG,26-Jun-24,PR 20,"Salary Range:  $3,507.08 - $4,129.29 Bi-Weekly"
Industry Training Consultant (Program Admin Officer 3),https://jobs.novascotia.ca/job/SYDNEY-Industry-Training-Consultant-%28Program-Admin-Officer-3%29-NS-B1P-4V7/581869917/,"Labour, Skills and Immigration",SYDNEY,26-Jun-24,43184,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,26-Jun-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
GIS & Interpreted Forest Inventory Supervisor (Program Administration Officer 4),https://jobs.novascotia.ca/job/TRURO-GIS-&-Interpreted-Forest-Inventory-Supervisor-%28Program-Administration-Officer-4%29-NS-B2N-0G9/581856817/,Natural Resources & Renewables,TRURO,03-Jul-24,43171,Natural Resources & Renewables,Permanent,NSGEU - NSPG,03-Jul-24,PR 17,"Salary Range:  $3,107.16 - $3,649.33 Bi-Weekly"
Program Specialist (Program Admin Officer 3),https://jobs.novascotia.ca/job/HALIFAX-Program-Specialist-%28Program-Admin-Officer-3%29-NS-B3J-2S9/581857317/,"Labour, Skills and Immigration",HALIFAX,26-Jun-24,43204,"Labour, Skills and Immigration",Term,NSGEU - NSPG,26-Jun-24,PR 13,"Salary Range:  $2,556.10 - $3,107.16 Bi-Weekly"
Research and Statistical Officer 4,https://jobs.novascotia.ca/job/HALIFAX-Research-and-Statistical-Officer-4-NS-B3J-1V7/581853217/,Justice,HALIFAX,26-Jun-24,43242,Justice,Temporary,NSGEU - NSPG,26-Jun-24,PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
Justice Officer - Court Administration (The Law Courts),https://jobs.novascotia.ca/job/HALIFAX-Justice-Officer-Court-Administration-%28The-Law-Courts%29-NS-B3J-1S7/581855117/,Justice,HALIFAX,26-Jul-24,43249,Justice,Temporary,NSGEU - NSPG,26-Jul-24,CL 21,"Salary Range:  $1,834.08 - $2,044.45 Bi-Weekly"
Technical Analyst,https://jobs.novascotia.ca/job/BRIDGEWATER-Technical-Analyst-NS-B4V-3S6/581874617/,Cyber Security & Digital Solutions,Not found,26-Jun-24,Not found,Competition:           #43301,"Salary:                     $1,587.24- $2,867.11 Bi-Weekly / $41,268.24 - $74,544.86 Annually (PR 1 - PR 11)",Not found,Position Type:        Full-Time Permanent (35 hours a week),":                 Paid Holidays, Vacation, Sick/Family Leave, Health, Dental, and Defined Benefits Pension",Not found
"Supervisor, Highway Maintenance (Middle Musquodoboit)",https://jobs.novascotia.ca/job/MIDDLE-MUSQUODOBOIT-Supervisor%2C-Highway-Maintenance-%28Middle-Musquodoboit%29-NS-B0N-2H0/581866317/,Public Works,MIDDLE MUSQUODOBOIT,26-Jun-24,43279,Public Works,Temporary,NSGEU - NSPG,26-Jun-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
Project Executive,https://jobs.novascotia.ca/job/HALIFAX-Project-Executive-NS-B3J-2R8/581886217/,Health and Wellness,Location: HALIFAX,04-Jul-24,Not found,Department: Health and Wellness,Type of Employment: Permanent,Not found,Closing Date: 04-Jul-24,Not found,Pay Grade:  EC 14
Division Crewperson (Summer Works Period) (Bible Hill and Tatamagouche),https://jobs.novascotia.ca/job/TATAMAGOUCHE-Division-Crewperson-%28Summer-Works-Period%29-%28Bible-Hill-and-Tatamagouche%29-NS-B2N-4L7/581848417/,Public Works,Location:,03-Jul-24,Not found,Department: Public Works,Zone: 14 and 15,Not found,Union Status: CUPE - NSPG,Not found,"Under Article 13 of the Collective Agreement between the Nova Scotia Department of Public Works and the Canadian Union of Public Employees, Local 1867, the following opportunity is being posted."
"Manager, Rural Sites Nova Scotia Museum",https://jobs.novascotia.ca/job/HALIFAX-Manager%2C-Rural-Sites-Nova-Scotia-Museum-NS-B3H3A6/581749717/,"Communities, Culture, Tourism & Heritage",HALIFAX,01-Jul-24,43066,"Communities, Culture, Tourism & Heritage",Permanent,Exclusion - Non Union - NSPG,01-Jul-24,EC 12,"Salary Range:  $3,351.92 - $4,608.93 Bi-Weekly"
"Emergency Management Preparedness Officer, Cape Breton",https://jobs.novascotia.ca/job/SYDNEY-Emergency-Management-Preparedness-Officer%2C-Cape-Breton-NS-B1P-7B9/581715817/,Municipal Affairs and Housing,SYDNEY,05-Jul-24,43228,Municipal Affairs and Housing,Permanent,NSGEU - NSPG,05-Jul-24,PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
Caseworker 1-2 (Employment Support Services & Income Assistance),https://jobs.novascotia.ca/job/DIGBY-Caseworker-1-2-%28Employment-Support-Services-&-Income-Assistance%29-NS-B0V-1A0/581716317/,Community Services,DIGBY,05-Jul-24,43209,Community Services,Permanent,Not found,05-Jul-24,PR 04 - PR 11,"Salary Range:  $1,773.75 - $2,867.11 Bi-Weekly"
"Junior Biologist, Integrated Resource Management (Biologist 1(A)-2(B))",https://jobs.novascotia.ca/job/LUNENBURG-Junior-Biologist%2C-Integrated-Resource-Management-%28Biologist-1%28A%29-2%28B%29%29-NS-B0J-2C0/581694017/,Natural Resources & Renewables,LUNENBURG,27-Jun-24,43166,Natural Resources & Renewables,Term,Not found,27-Jun-24,PR 05 - PR 12,"Salary Range:  $1,844.97 - $2,982.67 Bi-Weekly"
Boiler and Pressure Equipment (Inspector Specialist 3),https://jobs.novascotia.ca/job/DARTMOUTH-Boiler-and-Pressure-Equipment-%28Inspector-Specialist-3%29-NS-B3B-0L3/581688217/,"Labour, Skills and Immigration",DARTMOUTH AND/OR BRIDGEWATER,27-Jun-24,43170,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,27-Jun-24,TE 27,"Salary Range:  $2,683.02 - $3,116.30 Bi-Weekly + 8% market adjustment"
Technical Safety Officer and Code Design Administrator (Program Admin Officer 4),https://jobs.novascotia.ca/job/DARTMOUTH-Technical-Safety-Officer-and-Code-Design-Administrator-%28Program-Admin-Officer-4%29-NS-B3B-0L3/581640417/,"Labour, Skills and Immigration",DARTMOUTH,26-Jun-24,43169,"Labour, Skills and Immigration",Permanent,NSGEU - NSPG,26-Jun-24,PR 17,"Salary Range:  $3,107.16 - $3,649.33 Bi-Weekly"
Species at Risk (Biologist 3),https://jobs.novascotia.ca/job/KENTVILLE-Species-at-Risk-%28Biologist-3%29-NS-B4N-4E5/581628717/,Natural Resources & Renewables,KENTVILLE or CORNWALLIS,04-Jul-24,42978,Natural Resources & Renewables,Term,NSGEU - NSPG,04-Jul-24,PR 15,"Salary Range:  $2,760.42 - $3,364.90 Bi-Weekly"
Senior Business Analyst,https://jobs.novascotia.ca/job/HALIFAX-Senior-Business-Analyst-NS-B3J-1M7/581632617/,Cyber Security & Digital Solutions,"Salary:                     $2,653.85- $3,231.58 Bi-Weekly / $69,000.10 - $84,021.08 Annually (PR 14)",26-Jun-24,Not found,Not found,Not found,Not found,Not found,Not found,Location:                Halifax
Community Liaison Coordinator (Designated),https://jobs.novascotia.ca/job/HALIFAX-Community-Liaison-Coordinator-%28Designated%29-NS-B3J-2R8/581607817/,Office of Addictions and Mental Health,Location: HALIFAX,26-Jun-24,Not found,Department: Office of Addictions and Mental Health,Type of Employment: Permanent,Not found,Closing Date: 26-Jun-24,Not found,Pay Grade:  EC 11
Justice Officer - Metro Provincial Courts (Hiring Pool),https://jobs.novascotia.ca/job/HALIFAX-Justice-Officer-Metro-Provincial-Courts-%28Hiring-Pool%29-NS-B2Y-4B7/581449217/,Justice,HALIFAX and DARTMOUTH,28-Jul-24,43029,Justice,Permanent,NSGEU - NSPG,28-Jul-24,CL 21,"Salary Range:  $1,834.08 - $2,044.45 Bi-Weekly"
Court Officer - Judicial Metro Provincial Courts (Hiring Pool),https://jobs.novascotia.ca/job/HALIFAX-Court-Officer-Judicial-Metro-Provincial-Courts-%28Hiring-Pool%29-NS-B2Y-4B7/581448617/,Justice,HALIFAX and DARTMOUTH,28-Jul-24,43030,Justice,Permanent,NSGEU - NSPG,28-Jul-24,TE 22,"Salary Range:  $2,189.32 - $2,574.66 Bi-Weekly"
