Job Title,Job ID,Location,Department,Posted Date,Close Date
Casual Clerk 5,163258,Charlottetown,HS/MH&A/NS/HH/Nrsg Casual,06/11/2024,Open Until Filled
Executive Assistant,162466,Charlottetown,HS/CEO Office,06/11/2024,Open Until Filled
Nurse Manager 1 (Medical/Palliative Care Unit),163285,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,06/11/2024,06/27/2024
Occupational Therapist 1,163002,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,06/11/2024,Open Until Filled
Occupational Therapist 2 FACT,162414,Montague,HS/MH&A/ComMentalHlth-East,06/11/2024,Open Until Filled
Registered Nurse 1,163037,Alberton,HS/HSPF/WesternH/Emergency,06/11/2024,Open Until Filled
Registered Nurse 2,162920,Montague,HS/HSPF/KCMH/Emergency,06/11/2024,Open Until Filled
Service Worker 1,162639,Charlottetown,HS/HSPF/SP/QEH/Laundry,06/11/2024,06/27/2024
Child Life Specialist,158144,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 5,06/10/2024,Open Until Filled
Pharmacy Technician,158973,Charlottetown,HS/HSPF/HP/QEH/Pharmacy,06/10/2024,Open Until Filled
Mobile Crisis RN2,158497,Charlottetown,HS/MH&A/MobileMHCrisisUnit,06/07/2024,Open Until Filled
Med Radiation Technologist 2,162819,Charlottetown,HS/HSPF/HP/QEH/DiagImag Nuclea,06/06/2024,Open Until Filled
Registered Nurse 1,162558,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 5,06/06/2024,Open Until Filled
Registered Nurse 2,162888,Souris,HS/CHSC/ColvilleM/LTC Nursing,06/06/2024,Open Until Filled
Registered Nurse 2,162974,Charlottetown,HS/MH&A/NS/QEH/Nrsg EmergPsych,06/06/2024,Open Until Filled
Director of Nursing 22N,162332,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,06/05/2024,Open Until Filled
RN 1 - Replacement,162848,Souris,HS/HSPF/KCMH/Nrsg Replacement,06/05/2024,Open Until Filled
Clerk 4,162863,Alberton,HS/HSPF/WesternH/Admitting,06/04/2024,Open Until Filled
Physiotherapist 1,162912,Charlottetown,HS/MH&A/HP/HH/Cent.Programming,06/04/2024,Open Until Filled
Registered Nurse 2,162850,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/04/2024,Open Until Filled
Respiratory Therapist 1,162921,Montague,HS/HSPF/KCMH/Occup Therapy,06/04/2024,Open Until Filled
Casual Registered Nurse 4,163063,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,06/03/2024,Open Until Filled
Occupational Therapist 2,162418,Charlottetown,HS/MH&A/McGill Centre,06/03/2024,Open Until Filled
Medical Secretary 1,156170,Montague,HS/HSPF/KCMH/Health Record,05/31/2024,Open Until Filled
Clerk 3 (Diagnostic Imaging),161994,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Cleri,05/30/2024,Open Until Filled
Clerk 4,162068,Montague,HS/HSPF/KCMH/Admitting,05/29/2024,Open Until Filled
Cas. Clerk 4,158772,Summerside,HS/CHSC/PH/West,05/28/2024,Open Until Filled
Casual Cook 2,162533,Souris,HS/CHSC/SP/ColvilleM/Nutrition,05/27/2024,Open Until Filled
Registered Nurse 1,162016,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,05/27/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),162135,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,05/27/2024,Open Until Filled
Clerk 5 - Diagnostic Imaging,162488,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Cleri,05/24/2024,Open Until Filled
HIM Professional 2,161686,Alberton,HS/HSPF/WesternH/Health Record,05/24/2024,Open Until Filled
Physiotherapist 1,162766,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,05/24/2024,Open Until Filled
Registered Nurse 1 (Emergency),162768,Summerside,HS/HSPF/NS/PCH/Emergency,05/24/2024,Open Until Filled
Registered Nurse 1 (Medical/Palliative),162775,Summerside,HS/HSPF/NS/PCH/Nrsg-Medical,05/24/2024,Open Until Filled
Registered Nurse 1 (Medical/Palliative),160705,Summerside,HS/HSPF/NS/PCH/Nrsg-Medical,05/24/2024,Open Until Filled
Registered Nurse 2 Float,153918,Souris,HS/HSPF/PatientFlow&SystUtiliz,05/24/2024,Open Until Filled
Cas Physiotherapist 1,162890,Montague,HS/HSPF/KCMH/Physiotherapy,05/23/2024,Open Until Filled
Cas Physiotherapist 2,162892,Montague,HS/HSPF/KCMH/Physiotherapy,05/23/2024,Open Until Filled
Med Radiation Technologist XTrain in Laboratory,162603,Alberton,HS/HSPF/WesternH/Radiology,05/22/2024,Open Until Filled
Physiotherapist 2,162665,Alberton,HS/HSPF/WesternH/Physiotherapy,05/22/2024,Open Until Filled
Registered Nurse 1 (Emergency),162637,Summerside,HS/HSPF/NS/PCH/Emergency,05/22/2024,Open Until Filled
Registered Nurse 1 (Emergency/ICU Replacement) (Primary Emergency),162636,Summerside,HS/HSPF/NS/PCH/Replacem/Float,05/22/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),162489,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,05/22/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),162483,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,05/22/2024,Open Until Filled
Registered Nurse 1 (Unit 8),162123,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 8,05/22/2024,Open Until Filled
Registered Nurse 1 (Unit 8),162676,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 8,05/22/2024,Open Until Filled
Registered Nurse 1-MSF (NRS),162680,Charlottetown,HS/HSPF/NS/QEH/Float Pool,05/22/2024,Open Until Filled
Registered Nurse 2,162974,Charlottetown,HS/MH&A/NS/QEH/Nrsg EmergPsych,06/06/2024,Open Until Filled
Director of Nursing 22N,162332,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,06/05/2024,Open Until Filled
RN 1 - Replacement,162848,Souris,HS/HSPF/KCMH/Nrsg Replacement,06/05/2024,Open Until Filled
Clerk 4,162863,Alberton,HS/HSPF/WesternH/Admitting,06/04/2024,Open Until Filled
Physiotherapist 1,162912,Charlottetown,HS/MH&A/HP/HH/Cent.Programming,06/04/2024,Open Until Filled
Registered Nurse 2,162850,Summerside,HS/CHSC/WedgewoodM/LTC Nursing,06/04/2024,Open Until Filled
Respiratory Therapist 1,162921,Montague,HS/HSPF/KCMH/Occup Therapy,06/04/2024,Open Until Filled
Casual Registered Nurse 4,163063,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,06/03/2024,Open Until Filled
Occupational Therapist 2,162418,Charlottetown,HS/MH&A/McGill Centre,06/03/2024,Open Until Filled
Medical Secretary 1,156170,Montague,HS/HSPF/KCMH/Health Record,05/31/2024,Open Until Filled
Clerk 3 (Diagnostic Imaging),161994,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Cleri,05/30/2024,Open Until Filled
Clerk 4,162068,Montague,HS/HSPF/KCMH/Admitting,05/29/2024,Open Until Filled
Cas. Clerk 4,158772,Summerside,HS/CHSC/PH/West,05/28/2024,Open Until Filled
Casual Cook 2,162533,Souris,HS/CHSC/SP/ColvilleM/Nutrition,05/27/2024,Open Until Filled
Registered Nurse 1,162016,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,05/27/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),162135,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,05/27/2024,Open Until Filled
Clerk 5 - Diagnostic Imaging,162488,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Cleri,05/24/2024,Open Until Filled
HIM Professional 2,161686,Alberton,HS/HSPF/WesternH/Health Record,05/24/2024,Open Until Filled
Physiotherapist 1,162766,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,05/24/2024,Open Until Filled
Registered Nurse 1 (Emergency),162768,Summerside,HS/HSPF/NS/PCH/Emergency,05/24/2024,Open Until Filled
Registered Nurse 1 (Medical/Palliative),162775,Summerside,HS/HSPF/NS/PCH/Nrsg-Medical,05/24/2024,Open Until Filled
Registered Nurse 1 (Medical/Palliative),160705,Summerside,HS/HSPF/NS/PCH/Nrsg-Medical,05/24/2024,Open Until Filled
Registered Nurse 2 Float,153918,Souris,HS/HSPF/PatientFlow&SystUtiliz,05/24/2024,Open Until Filled
Cas Physiotherapist 1,162890,Montague,HS/HSPF/KCMH/Physiotherapy,05/23/2024,Open Until Filled
Cas Physiotherapist 2,162892,Montague,HS/HSPF/KCMH/Physiotherapy,05/23/2024,Open Until Filled
Med Radiation Technologist XTrain in Laboratory,162603,Alberton,HS/HSPF/WesternH/Radiology,05/22/2024,Open Until Filled
Physiotherapist 2,162665,Alberton,HS/HSPF/WesternH/Physiotherapy,05/22/2024,Open Until Filled
Registered Nurse 1 (Emergency),162637,Summerside,HS/HSPF/NS/PCH/Emergency,05/22/2024,Open Until Filled
Registered Nurse 1 (Emergency/ICU Replacement) (Primary Emergency),162636,Summerside,HS/HSPF/NS/PCH/Replacem/Float,05/22/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),162489,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,05/22/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),162483,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,05/22/2024,Open Until Filled
Registered Nurse 1 (Unit 8),162123,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 8,05/22/2024,Open Until Filled
Registered Nurse 1 (Unit 8),162676,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 8,05/22/2024,Open Until Filled
Registered Nurse 1-MSF (NRS),162680,Charlottetown,HS/HSPF/NS/QEH/Float Pool,05/22/2024,Open Until Filled
Registered Nurse 2,162627,Summerside,HS/MH&A/Mental Health/West,05/22/2024,Open Until Filled
Secretary 4 (Infection Control),162523,Charlottetown,HS/CNPP/Infection Control,05/22/2024,Open Until Filled
Nurse Practitioner,162698,Montague,HS/CHSC/RiverviewM/LTC Nursing,05/21/2024,Open Until Filled
Physiotherapist 1 - Physical Medicine,162569,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,05/21/2024,Open Until Filled
Cas Addiction Wrkr - Male Only,158417,Summerside,HS/MH&A/AD St.Eleanor's House,05/17/2024,Open Until Filled
Psychologist 20B,160974,Charlottetown,HS/MH&A/Children's Team,05/16/2024,Open Until Filled
Psychologist L20B,162408,Charlottetown,HS/MH&A/ProvCommunityPrograms,05/16/2024,Open Until Filled
Registered Nurse 2,162528,Souris,HS/CHSC/ColvilleM/LTC Nursing,05/14/2024,Open Until Filled
Nurse Practitioner,162406,Charlottetown,HS/MH&A/ProvCommunityPrograms,05/13/2024,Open Until Filled
Occupational Therapist 1 - Physical Medicine,162568,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,05/13/2024,Open Until Filled
Registered Nurse 1 Summer Relief,,Summerside,,05/13/2024,Open Until Filled
Medical Lab Technologist 1 - Hematology,162172,Charlottetown,HS/HSPF/HP/QEH/Lab Med Hemat,05/10/2024,Open Until Filled
Respiratory Therapist 1,162451,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,05/09/2024,Open Until Filled
Clinic Coordinator,161269,Alberton,HS/CHSC/FHC/Alberton HlthCtr,05/07/2024,Open Until Filled
HIM Professional 1 (Health Records),162129,Charlottetown,HS/HSPF/SP/QEH/Medical Records,05/07/2024,Open Until Filled
RN 1 - Replacement (QEH REplacement Team),162482,Charlottetown,HS/HSPF/NS/QEH/ReplacementTeam,05/07/2024,Open Until Filled
Registered Nurse 2,162475,Charlottetown,HS/HSPF/HP/QEH/Phys Med Admin,05/07/2024,Open Until Filled
Secretary 4 - Provincial Laboratory,162073,Charlottetown,HS/HSPF/HP/QEH/Lab Med Admin,05/07/2024,Open Until Filled
Cas Rehabilitation Assistant,158507,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,05/06/2024,Open Until Filled
Nurse Practitioner - Ambulatory Care,162480,Summerside,HS/HSPF/HP/PCH/Nrsg Suite Ambu,05/06/2024,Open Until Filled
Casual Patient Care Worker,156737,O'Leary,HS/HSPF/CommH/Acute Care Nrsg,05/02/2024,Open Until Filled
Registered Nurse 1- Summer Relief,161908,Charlottetown,HS/MH&A/NS/HH/Nrsg Casual,05/02/2024,Open Until Filled
Registered Nurse 2,162457,Charlottetown,HS/CHSC/BGH/Long-term Care,05/02/2024,Open Until Filled
Medical Secretary 2,159231,Charlottetown,HS/MH&A/Richmond Centre,05/01/2024,Open Until Filled
Casual Respiratory Therapist 1(Cardio-Respiratory),160117,Charlottetown,HS/HSPF/HP/QEH/Cardio Respirat,04/30/2024,Open Until Filled
Nurse Practitioner,159495,Montague,HS/CHSC/FHC/Montague-East,04/30/2024,Open Until Filled
Physiotherapist 2,162391,Montague,HS/HSPF/KCMH/Physiotherapy,04/30/2024,Open Until Filled
Respiratory Therapist 1 (Cardio - Respiratory),162213,Charlottetown,HS/HSPF/HP/QEH/Cardio Respirat,04/30/2024,Open Until Filled
Respiratory Therapist 1 (Cardio-Respiratory),160466,Charlottetown,HS/HSPF/HP/QEH/Cardio Respirat,04/30/2024,Open Until Filled
Respiratory Therapist 1 (Cardio-Respiratory),160467,Charlottetown,HS/HSPF/HP/QEH/Cardio Respirat,04/30/2024,Open Until Filled
Medical Secretary 2,160838,O'Leary,HS/CHSC/FHC/O'Leary FHC,04/29/2024,Open Until Filled
Medical Secretary 2,161717,O'Leary,HS/CHSC/FHC/O'Leary FHC,04/29/2024,Open Until Filled
Medical Secretary 2,160678,O'Leary,HS/CHSC/FHC/O'Leary FHC,04/29/2024,Open Until Filled
Nurse Practitioner,162357,Summerside,HS/MH&A/Addict/Admin-West,04/29/2024,Open Until Filled
Physiotherapist 2,162212,Montague,HS/CHSC/Home Care/Kings,04/29/2024,Open Until Filled
Registered Nurse 1,162235,Charlottetown,HS/HSPF/NS/QEH/Nrsg NICU,04/29/2024,Open Until Filled
Registered Nurse 1,162229,Charlottetown,HS/HSPF/NS/QEH/Nrsg NICU,04/29/2024,Open Until Filled
Registered Nurse 1 (Medical/Palliative),162323,Summerside,HS/HSPF/NS/PCH/Nrsg-Medical,04/29/2024,Open Until Filled
Medical Physicist,160829,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Admin,04/26/2024,Open Until Filled
Registered Nurse 1,162325,Souris,HS/HSPF/SourisH/Nursing,04/26/2024,Open Until Filled
Registered Nurse 1,162300,Souris,HS/HSPF/SourisH/Nursing,04/26/2024,Open Until Filled
Registered Nurse 1 (Emergency),162342,Summerside,HS/HSPF/NS/PCH/Emergency,04/26/2024,Open Until Filled
HIM Professional 1 (Health Records),162130,Charlottetown,HS/HSPF/SP/QEH/Medical Records,04/25/2024,Open Until Filled
Med Lab Technologist 1,161983,Charlottetown,HS/HSPF/HP/QEH/Lab Med Hemat,04/25/2024,Open Until Filled
Nurse Practitioner,162260,Charlottetown,HS/CHSC/FHC/4Neigh/East,04/25/2024,Open Until Filled
Registered Nurse 1 (Emergency),162192,Summerside,HS/HSPF/NS/PCH/Emergency,04/25/2024,Open Until Filled
Registered Nurse 1 (Unit 1),162330,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,04/25/2024,Open Until Filled
Registered Nurse 2,162267,Souris,HS/CHSC/ColvilleM/LTC Nursing,04/25/2024,Open Until Filled
Registered Nurse 2,162284,O'Leary,HS/CHSC/MSEH/LTC Nursing,04/24/2024,Open Until Filled
Casual Activity Worker 10,161786,Multiple,HS/CHSC/MSEH/Occup Therapy,04/23/2024,Open Until Filled
Registered Nurse 1,162158,Montague,HS/HSPF/KCMH/Acute Care Nrsg,04/19/2024,Open Until Filled
Registered Nurse 1,159249,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,04/18/2024,Open Until Filled
Registered Nurse 4 (Nurse Supervisor),162181,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,04/18/2024,Open Until Filled
Cas Maintenance Tradesperson - Millwright,162334,Charlottetown,HS/HSPF/SP/QEH/Maintenance,04/17/2024,Open Until Filled
Registered Nurse 1,162152,Montague,HS/HSPF/KCMH/Emergency,04/17/2024,Open Until Filled
Registered Nurse 1,162153,Montague,HS/HSPF/KCMH/Acute Care Nrsg,04/17/2024,Open Until Filled
Cas. Med. Secretary 2 (Ambulatory Care),162207,Charlottetown,HS/HSPF/HP/QEH/Ambulatory Care,04/16/2024,Open Until Filled
Clerk 5,159004,Montague,HS/CHSC/Home Care/Kings,04/16/2024,Open Until Filled
Cas Med Rad Technologist 2,162289,Charlottetown,HS/HSPF/HP/QEH/DiagImag Mammo,04/15/2024,Open Until Filled
Casual Registered Nurse 2,162307,Charlottetown,HS/MH&A/OccupStressInjClinic,04/15/2024,Open Until Filled
Med Radiation Technologist 2,159551,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Admin,04/15/2024,Open Until Filled
Cas Patient Care Wrkr,161220,Souris,HS/HSPF/SourisH/Nursing,04/12/2024,Open Until Filled
Cas. Clerk 4,162206,Charlottetown,HS/CHSC/Networks-Queens East,04/12/2024,Open Until Filled
Medical Secretary 2,162093,Charlottetown,HS/CHSC/Networks-Queens East,04/12/2024,Open Until Filled
Network Clinical Nurse Lead (Registered Nurse 3),161720,Charlottetown,HS/CHSC/FHC/Cent Queens West,04/12/2024,Open Until Filled
Registered Nurse 1,162013,Montague,HS/HSPF/KCMH/Acute Care Nrsg,04/12/2024,Open Until Filled
Cas Addiction Worker (Female Only),157267,Charlottetown,HS/MH&A/AD Lacey,04/10/2024,Open Until Filled
Casual LPN,160637,Charlottetown,HEALTH PEI,04/10/2024,Open Until Filled
Critical Care Float RN1,161938,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,04/10/2024,Open Until Filled
Registered Nurse 1  (Emergency),162005,Summerside,HS/HSPF/NS/PCH/Emergency,04/10/2024,Open Until Filled
Registered Nurse 4,161179,Charlottetown,HS/HSPF/NS/QEH/Nrsg AdmGeneral,04/10/2024,Open Until Filled
Psychologist L20B,161368,Charlottetown,HS/MH&A/HP/HH/Psychology,04/09/2024,Open Until Filled
Registered Nurse 1,159794,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,04/09/2024,Open Until Filled
Registered Nurse 1,162019,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 1,04/09/2024,Open Until Filled
(Temp) Nurse Practitioner (Primary Care Access Clinic),161926,Montague,HS/CHSC/FHC/Montague-East,04/08/2024,Open Until Filled
Mgr Clinical Serv, Prov Renal,160513,Charlottetown,HS/CHSC/Hemodialysis-QEH,04/08/2024,Open Until Filled
Registered Nurse 1  (Intensive Care Unit),162051,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,04/08/2024,Open Until Filled
Registered Nurse 2   (Clinical Leader - Intensive Care Unit),161337,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,04/08/2024,Open Until Filled
Casual Service Worker 1,162161,Undefined location,HEALTH PEI,04/05/2024,Open Until Filled
Registered Nurse 2,159182,Summerside,HS/MH&A/MASST Three Oaks,04/05/2024,Open Until Filled
Cas Med Rad Technologist 1,162138,Charlottetown,HS/HSPF/HP/QEH/Diag Imag Admin,04/04/2024,Open Until Filled
RN 2 - Replacement,161931,O'Leary,HS/CHSC/MSEH/Nrsg Replacement,04/03/2024,Open Until Filled
Radiation Therapist - Cancer Treatment Centre,161768,Charlottetown,HS/HSPF/HP/QEH/PEI Cancer Trea,04/03/2024,Open Until Filled
Registered Nurse 2 (Clinical Lead) - Provincial Rehabilitation Unit, Unit 7,161774,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 7,04/03/2024,Open Until Filled
(3) Registered Nurse 3 - Summer Relief,161909,Charlottetown,HS/MH&A/NS/HH/Nrsg Casual,04/02/2024,Open Until Filled
Registered Nurse 4 (Nurse Supervisor),161900,Summerside,HS/HSPF/NS/PCH/Nrsg-Admin.,04/02/2024,Open Until Filled
Registered Nurse 1 (QEH, ICU/CCU/PCU),161622,Charlottetown,HS/HSPF/NS/QEH/Nrsg ICU CCU,03/28/2024,Open Until Filled
Registered Nurse 1 (QEH, ICU/CCU/PCU),161621,Charlottetown,HS/HSPF/NS/QEH/Nrsg ICU CCU,03/28/2024,Open Until Filled
RN 1 - Replacement,161848,Souris,HS/HSPF/KCMH/Nrsg Replacement,03/27/2024,Open Until Filled
Casual Food Service Mgr L14,160667,Charlottetown,HS/CHSC/SP/BGH/Nutrition,03/26/2024,Open Until Filled
Registered Nurse 1,161587,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,03/26/2024,Open Until Filled
Registered Nurse 2 (Summer Relief),161838,Charlottetown,HS/CHSC/BGH/Long-term Care,03/26/2024,Open Until Filled
Registered Nurse 2 (Summer Relief),161836,Charlottetown,HS/CHSC/BGH/Long-term Care,03/26/2024,Open Until Filled
Cas Occupational Therapist 1,162017,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,03/25/2024,Open Until Filled
Registered Nurse 1  (Intensive Care Unit),161775,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,03/22/2024,Open Until Filled
Cas Medical Lab Assistant,161937,Montague,HS/HSPF/KCMH/Diag Service,03/21/2024,Open Until Filled
Occupational Therapist 2,161188,Souris,HS/HSPF/SourisH/Physiotherapy,03/20/2024,Open Until Filled
Registered Nurse 1,160813,Montague,HS/HSPF/KCMH/Emergency,03/20/2024,Open Until Filled
Occupational Therapist 2,161217,Montague,HS/CHSC/RiverviewM/LTC Nursing,03/19/2024,Open Until Filled
Occupational Therapist 2,161432,Souris,HS/HSPF/SourisH/Physiotherapy,03/19/2024,Open Until Filled
Casual Housekeeper 2,161866,Charlottetown,HS/HSPF/SP/QEH/Housekeeping,03/18/2024,Open Until Filled
Nurse Practitioner,161713,Tignish,HS/CHSC/FHC/Alberton HlthCtr,03/18/2024,Open Until Filled
Registered Nurse,161132,Undefined location,HEALTH PEI,03/18/2024,Open Until Filled
Registered Nurse 1  (Emergency),161583,Summerside,HS/HSPF/NS/PCH/Emergency,03/18/2024,Open Until Filled
Nurse Practitioner (Geriatric /  Home Care Program Nurse Practitioner),161597,Summerside,HS/CHSC/Prov. Geriatrician,03/14/2024,Open Until Filled
RN 2 - Replacement,161535,Summerside,HS/CHSC/WedgewoodM/NrsgReplace,03/13/2024,Open Until Filled
Registered Nurse 2,161682,O'Leary,HS/CHSC/MSEH/LTC Nursing,03/13/2024,Open Until Filled
Cas. Clerk 4,161215,Montague,HS/HSPF/KCMH/Admitting,03/12/2024,Open Until Filled
HIM Professional 1,154572,Montague,HS/HSPF/KCMH/Health Record,03/12/2024,Open Until Filled
RN2 - Educator,161572,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,03/08/2024,Open Until Filled
Nurse Practitioner,161409,Charlottetown,HS/MH&A/NS/HH/Nrsg Admin,03/07/2024,Open Until Filled
Registered Nurse 1,161554,Souris,HS/MH&A/Addict Serv/East,03/07/2024,Open Until Filled
Respiratory Therapist 1,160879,Alberton,HS/HSPF/WesternH/AcuteCare Nrs,03/05/2024,Open Until Filled
Respiratory Therapist 1,161076,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,03/05/2024,Open Until Filled
Registered Nurse 1(ICU/CCU/PCU),161095,Charlottetown,HS/HSPF/NS/QEH/Nrsg ICU CCU,03/01/2024,Open Until Filled
Respiratory Therapist 1,161113,Summerside,HS/HSPF/HP/PCH/Allied Hlth Ser,02/29/2024,Open Until Filled
Casual Occupational Therapist 2 (Physical Medicine),161024,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,02/28/2024,Open Until Filled
Casual Physiotherapist 2 (Physical Medicine),161025,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,02/28/2024,Open Until Filled
Cas. Med. Secretary 2,157020,Summerside,HS/HSPF/HP/PCH/Diag Imag Cleri,02/23/2024,Open Until Filled
Casual Cook 2,161494,Summerside,HS/HSPF/SP/PCH/Nutrition Serv,02/22/2024,Open Until Filled
Maintenance Tradesperson,161482,Summerside,HS/CHSC/SP/SummersetM/PropMain,02/22/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),161336,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,02/22/2024,Open Until Filled
Registered Nurse 1 (Intensive Care Unit),161338,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,02/22/2024,Open Until Filled
Respiratory Therapist 1,159778,Summerside,HS/CHSC/Home Care/Prince,02/20/2024,Open Until Filled
Registered Nurse 1,160579,Souris,HS/HSPF/SourisH/Nursing,02/13/2024,Open Until Filled
Casual Medical Secretary 2,159327,Montague,HS/CHSC/FHC/Montague-East,02/07/2024,Open Until Filled
Cas. Med. Secretary 2,160116,Charlottetown,HS/CHSC/CommSpecialstSrv-Admin,02/05/2024,Open Until Filled
Med Rad Technologist/XTrain,159724,Montague,HS/HSPF/KCMH/Diag Service,02/05/2024,Open Until Filled
Cas. Med. Secretary 1,161213,Alberton,HS/HSPF/WesternH/Health Record,02/02/2024,Open Until Filled
Casual Ward Clerk - To Create a List,156965,Charlottetown,HEALTH PEI,02/02/2024,Open Until Filled
Casual Cook 2,156896,Multiple,HS/HSPF/SP/CommH/Nutrition,02/01/2024,Open Until Filled
Casual Service Worker 1,156897,Multiple,HS/HSPF/SP/CommH/Nutrition,02/01/2024,Open Until Filled
Casual Service Worker 1 (Environmental),156898,O'Leary,HS/HSPF/SP/CommH/Nutrition,02/01/2024,Open Until Filled
Registered Nurse 2,160430,Summerside,HS/MH&A/Mental Health/West,01/29/2024,Open Until Filled
Casual Rehabilitation Assistant (Physical Medicine),161023,Charlottetown,HS/HSPF/HP/QEH/Phys Med OccTh,01/24/2024,Open Until Filled
Cas. Med. Secretary 2,160216,O'Leary,HS/CHSC/FHC/O'Leary FHC,01/23/2024,Open Until Filled
Registered Nurse 2,160876,Summerside,HS/CHSC/SummersetM/LTC Nursing,01/23/2024,Open Until Filled
Casual Registered Nurse 2,160972,Charlottetown,HS/MH&A/NS/HH/Nrsg Casual,01/18/2024,Open Until Filled
Physiotherapist 1 (Physical Medicine),160652,Charlottetown,HS/HSPF/HP/QEH/Phys Med Physio,01/15/2024,Open Until Filled
Bilingual Registered Nurse 1 (Emergency),160677,Summerside,HS/HSPF/NS/PCH/Emergency,01/11/2024,Open Until Filled
Registered Nurse 1,160666,Alberton,HS/HSPF/WesternH/Emergency,01/11/2024,Open Until Filled
Registered Nurse 2,160682,Charlottetown,HS/CHSC/PEH/LTC Nursing,01/11/2024,Open Until Filled
Registered Nurse 2,160681,Charlottetown,HS/CHSC/PEH/LTC Nursing,01/11/2024,Open Until Filled
Cas Occupational Therapist 2,160531,Charlottetown,HS/CHSC/PEH/Occup Therapy,01/09/2024,Open Until Filled
Registered Nurse 1 (Emergency),160297,Summerside,HS/HSPF/NS/PCH/Emergency,01/08/2024,Open Until Filled
Registered Nurse 1,160125,Summerside,HS/HSPF/NS/PCH/Nursing-ICU,01/05/2024,Open Until Filled
Casual LPN,160741,Undefined location,HEALTH PEI,01/03/2024,Open Until Filled
Casual RCW,160742,Undefined location,HEALTH PEI,01/03/2024,Open Until Filled
Casual Registered Nurse 1,160744,Undefined location,HS/HSPF/NS/QEH/Nrsg Relief,01/03/2024,Open Until Filled
Registered Nurse 1,159731,Charlottetown,HS/HSPF/NS/QEH/Nrsg Unit 2,01/02/2024,Open Until Filled
Registered Nurse 1 (Surgery / Restorative),160482,Summerside,HS/HSPF/NS/PCH/Nrsg-Surgery,01/02/2024,Open Until Filled
Registered Nurse 2,160349,Charlottetown,HS/CHSC/BGH/Long-term Care,01/02/2024,Open Until Filled
Nurse Practitioner,159059,Charlottetown,HS/CHSC/Home Care/Queens,12/20/2023,Open Until Filled
